,image_time,crop_time,human_len,ai_len,prob,similarity
773,9.509233724137932,2.873,9,9,0.8642024397850037,0.8888888888888888
1007,4.811420512820513,1.648,1,13,0.370383620262146,0.0
2577,4.263844904544232,1.182,6,6,0.6390369534492493,1.0
3113,6.740374905058484,1.952,7,7,0.9999728798866272,1.0
4201,11.253287357706439,2.38,1,1,0.9767045974731444,1.0
821,6.058860304685255,0.977,5,5,0.9993430376052856,1.0
3060,7.552436090705845,2.061,6,6,0.9999899864196776,1.0
205,7.545421348314607,1.564,14,13,0.9969825148582458,0.9629629629629628
818,16.05718680101287,1.621,5,5,0.9991208910942078,1.0
2175,9.73313129861346,1.857,5,5,0.6294787526130676,0.2
508,1.8923415880503147,0.607,1,2,0.3295889496803284,0.0
525,1.2816004279219044,0.416,1,11,0.2554779648780823,0.0
218,8.539472178060413,1.78,9,11,0.2704217731952667,0.1
1393,8.577851442024722,1.612,5,5,0.9349191784858704,1.0
1104,9.463998093967406,1.964,19,19,0.8086295127868652,0.0
3259,8.244352468265163,1.949,19,18,0.8509571552276611,0.8648648648648649
1126,6.7945964297915955,1.515,3,3,0.3409225642681122,1.0
3545,3.4637414330218066,1.112,14,13,0.971182644367218,0.9629629629629628
170,5.354808400086599,1.46,8,13,0.5845713019371033,0.09523809523809523
3777,8.708845518807081,1.867,17,16,0.9209243059158324,0.9696969696969696
993,21.20900523834468,5.052,6,6,0.7878576517105103,1.0
3525,7.560961472894647,1.45,8,7,0.7437077164649963,0.9333333333333332
1713,11.534072158626328,3.726,9,9,0.9998387098312378,1.0
357,1.6995105431309905,0.404,1,5,0.9574330449104308,0.0
885,18.11582523055904,3.047,7,7,0.9998787641525269,1.0
132,15.835771276595748,2.125,12,9,0.2853675186634064,0.3809523809523809
1825,11.44857328522816,1.437,19,16,0.7844983339309692,0.8
1702,14.902701614906832,1.902,13,13,0.9995777010917664,1.0
3191,9.215294830371569,1.593,7,8,0.8591482639312744,0.26666666666666666
1935,7.968788478396993,1.268,4,4,0.7241705060005188,1.0
2482,13.133793170605038,1.995,13,9,0.858795166015625,0.6363636363636364
3213,3.330001177163037,0.734,8,3,0.4352756440639496,0.0
