,crop_time,image_time,human_len,ai_len,prob,similarity,correct
201,2.201,66.68724546601482,6,6,0.9967316389083862,1.0,0
202,1.435,6.923068820224719,12,10,0.8859528303146362,0.8181818181818182,0
203,1.648,7.950674157303371,7,6,0.99752539396286,0.9230769230769232,0
204,1.603,7.733574438202249,6,6,0.9897592067718506,1.0,0
205,1.564,7.545421348314607,14,13,0.9969825148582458,0.9629629629629628,0
206,1.729,8.341453651685393,7,7,0.26592573523521423,0.5714285714285714,0
207,1.277,6.160807584269664,16,15,0.9683220386505128,0.967741935483871,0
208,1.623,6.394994235436894,10,7,0.9215490221977234,0.0,1
209,1.422,5.603007888349515,8,9,0.9505701065063475,0.0,1
210,1.08,4.255449029126214,5,4,0.9999861121177672,0.2222222222222222,1
211,1.074,4.2318076456310685,9,8,0.9724506139755248,0.0,1
212,1.393,5.48874120145631,9,17,0.5307930707931519,0.0,1
213,0.415,1.5758391608391606,1,6,0.2275892347097397,0.0,1
214,0.385,1.461923076923077,1,4,0.8494644165039062,0.0,1
215,0.487,1.849237762237762,1,3,0.42504939436912537,0.0,1
216,1.318,5.803,1,3,0.4451400935649872,0.0,1
217,0.832,3.991483624801272,20,14,0.4687588512897492,0.05882352941176471,1
218,1.78,8.539472178060413,9,11,0.2704217731952667,0.1,0
219,1.401,6.721236248012718,12,12,0.424431711435318,0.25,1
220,2.277,10.923807949125596,12,5,0.3120218813419342,0.0,1
221,0.4,3.5645583133173204,1,3,0.33925560116767883,0.0,1
222,0.378,3.368507606084868,1,7,0.2611038386821747,0.0,1
223,0.385,3.4308873765679215,1,8,0.25271281599998474,0.0,1
224,0.464,4.134887643448092,1,7,0.3862623572349548,0.0,1
225,2.12,18.892159060581797,1,11,0.6003735661506653,0.0,1
226,0.401,1.8193724712415709,1,4,0.1927565038204193,0.0,1
227,0.397,1.8012241174137247,1,5,0.4569952189922333,0.0,1
228,0.389,1.7649274097580325,1,1,0.06715516746044159,0.0,1
229,0.452,2.0507639825466084,1,3,0.3524617850780487,0.0,1
230,0.429,1.9464109480364933,1,3,0.4479685127735138,0.0,1
231,0.453,2.05530107100357,1,3,0.293643593788147,0.0,1
232,1.167,3.384094903339192,1,8,0.34571048617362976,0.0,1
233,0.355,1.0294376098418279,1,13,0.4286221563816071,0.0,1
234,0.374,1.0845342706502636,1,10,0.3483250141143799,0.0,1
235,0.38,1.101933216168717,1,12,0.4481857419013977,0.0,1
236,5.156,22.34996589602759,12,12,0.9866909384727478,1.0,0
237,3.496,15.154282539277046,12,12,0.9997856616973876,1.0,0
239,3.73,16.16861380763827,12,12,0.9996101260185242,1.0,0
240,3.157,13.684802624856303,9,9,0.999508023262024,1.0,0
241,3.343,14.491065940733172,18,17,0.977849543094635,0.9714285714285714,0
242,0.923,8.238113459879207,6,11,0.487886518239975,0.5882352941176471,1
243,1.349,12.040319672131147,7,9,0.409469336271286,0.125,1
244,2.364,21.099566867989644,9,11,0.7379138469696045,0.9,1
245,1.891,8.272240630127996,11,7,0.9829248189926147,0.0,1
246,1.442,6.308075615359369,11,9,0.9818171262741088,0.0,1
247,1.33,5.818127994748934,11,8,0.999398708343506,0.0,1
248,1.406,6.15059245159173,11,13,0.9032022953033448,0.0,1
249,1.393,6.093723531342303,11,8,0.9442451596260072,0.0,1
250,1.915,8.377229405973088,11,6,0.9865653514862059,0.1176470588235294,1
251,1.204,5.266936921562193,10,8,0.9994574189186096,0.2222222222222222,1
253,1.557,6.811146832950444,5,12,0.9775230884552002,0.0,1
254,1.615,7.064869707909419,10,19,0.876292884349823,0.0,1
255,0.44,2.878,1,6,0.5892030000686646,0.0,1
256,1.602,3.6915346077785105,6,3,0.4667032361030578,0.0,1
257,5.656,13.033283234453968,11,13,0.9626656174659728,0.08333333333333333,1
258,1.844,4.249182157767524,8,3,0.3028810918331146,0.18181818181818185,1
259,8.402,27.30901901661813,14,13,0.9059650301933287,0.7407407407407407,1
260,1.935,6.289330135343498,11,11,0.902545928955078,0.9090909090909092,1
261,1.337,4.3456508480383755,5,5,0.9494599699974059,0.0,1
262,4.358,23.51427871148459,10,10,0.9998785853385924,1.0,0
263,4.059,21.900976890756304,7,7,0.9857088327407836,1.0,0
264,1.579,8.519744397759105,17,14,0.9076315760612488,0.8387096774193549,0
265,0.828,3.113,1,10,0.32609811425209045,0.0,1
266,0.756,6.056,1,12,0.4419902265071869,0.0,1
267,2.486,13.588254779225172,5,5,0.7538369297981262,1.0,0
