,data_id,crop_id,prob,human_len,ai_len,crop_time,image_time,similarity,correct,orig_image
25,9bbfc8c0-42c8-44e2-9846-9a4bed0a80d8,1,0.4771961569786072,1,3,710,3256.934160939925,0.0,0,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/5d4b121c-d331-4c64-8811-524a38e3e31b/1571305220329-3.jpeg
26,9bbfc8c0-42c8-44e2-9846-9a4bed0a80d8,2,0.4378198385238648,1,3,685,3142.253380625138,0.0,0,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/5d4b121c-d331-4c64-8811-524a38e3e31b/1571305220329-3.jpeg
27,9bbfc8c0-42c8-44e2-9846-9a4bed0a80d8,3,0.36044302582740784,1,13,664,3045.921525160718,0.0,0,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/5d4b121c-d331-4c64-8811-524a38e3e31b/1571305220329-3.jpeg
28,9bbfc8c0-42c8-44e2-9846-9a4bed0a80d8,4,0.3694104552268982,1,3,701,3215.649080026601,0.0,0,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/5d4b121c-d331-4c64-8811-524a38e3e31b/1571305220329-3.jpeg
29,9bbfc8c0-42c8-44e2-9846-9a4bed0a80d8,5,0.3842795789241791,1,15,935,4289.061183772999,0.0,0,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/5d4b121c-d331-4c64-8811-524a38e3e31b/1571305220329-3.jpeg
30,433e8247-814c-418f-acad-d0190fa82350,0,0.9964954257011414,4,7,1273,5712.160150078988,0.0,0,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/b1af665e-b6f9-4b17-82fd-cc5c5421a632/1571307109852-image50.jpeg
31,433e8247-814c-418f-acad-d0190fa82350,1,0.9660475254058838,4,9,762,3419.2191943127973,0.0,0,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/b1af665e-b6f9-4b17-82fd-cc5c5421a632/1571307109852-image50.jpeg
32,433e8247-814c-418f-acad-d0190fa82350,2,0.998830795288086,4,6,2161,9696.762045813586,0.2,0,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/b1af665e-b6f9-4b17-82fd-cc5c5421a632/1571307109852-image50.jpeg
33,433e8247-814c-418f-acad-d0190fa82350,3,0.9989368319511414,4,6,868,3894.858609794629,0.2,0,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/b1af665e-b6f9-4b17-82fd-cc5c5421a632/1571307109852-image50.jpeg
34,f266180a-754b-49f2-90f7-c53c09fd95e1,0,0.9984938502311708,4,4,1240,4162.102100140445,0.25,1,https://task-data-bucket.s3.ap-northeast-2.amazonaws.com/%EC%8B%9D%ED%92%88%20%ED%8F%AC%EC%9E%A5%EC%A7%80%20%EC%9D%B8%EC%8B%9D_4ff5f94d-694d-420e-b7d6-0ccad18eb1f1/5068ee0b-2372-4c83-b5b0-cb0279e00025/1570930001428-1f6b6a8a-8460-4731-8cdd-a87cef894aff_1.7d95d9374ee4edf9db43bb1d0f1c795a.jpeg
