,image_time,crop_time,human_len,ai_len,prob,similarity
69,3.755992681811252,1.188,6,11,0.8962728977203369,0.0
70,5.216656502515627,1.65,4,7,0.9765512943267822,0.18181818181818185
71,4.634920262235097,1.466,4,4,0.9996890425682068,0.0
72,3.177418051532246,1.005,4,6,0.9907524585723876,0.2
73,5.415,1.055,1,11,0.3889539539813995,0.0
74,7.888,2.658,1,1,0.3921405971050263,0.0
76,27.57315744680851,3.095,11,11,0.9981006383895874,0.9090909090909092
77,27.118801702127662,3.044,11,11,0.9210397005081176,0.9090909090909092
79,25.025201702127667,2.809,12,11,0.9180082082748412,0.8695652173913043
82,22.174342127659568,2.489,6,6,0.9998412132263184,1.0
83,4.184,1.302,1,13,0.3730591535568237,0.0
84,12.016977406679764,4.101,7,6,0.9942868947982788,0.15384615384615385
85,2.971278978388998,1.014,4,10,0.3428502976894379,0.0
86,2.909743614931238,0.993,7,6,0.970656156539917,0.0
87,14.704787151132173,2.759,13,12,0.9511703848838806,0.96
88,10.520931437598737,1.974,11,11,0.9659576416015624,0.9090909090909092
89,12.94063907319642,2.428,6,6,0.9999654293060304,1.0
90,12.43964233807267,2.334,13,12,0.9876041412353516,0.8
91,4.048,1.2,1,3,0.4223147332668304,0.0
92,5.024,1.216,1,9,0.4143789708614349,0.0
93,21.6007,4.642,9,3,0.26758506894111633,0.0
94,7.203335545023697,1.548,12,10,0.3930142223834992,0.2727272727272727
95,6.89156327014218,1.481,7,9,0.5943519473075867,0.75
96,3.578401184834123,0.769,13,14,0.4926998913288117,0.07407407407407407
97,3.066431659860677,0.697,1,3,0.2452574372291565,0.0
98,2.9212490992073024,0.664,1,11,0.3434062600135803,0.0
99,2.639682920970454,0.6,1,10,0.3385656177997589,0.0
100,3.145622147489791,0.715,1,5,0.2593802511692047,0.0
101,3.378794138842181,0.768,1,3,0.5187975764274597,0.0
102,3.163220033629594,0.719,1,3,0.4822425246238709,0.0
103,18.691902495171064,3.813,13,12,0.9316170215606691,0.08
104,10.91709070462784,2.227,13,12,0.9997050166130066,0.96
105,10.490603550922128,2.14,11,11,0.9498957395553588,0.9090909090909092
107,14.029956711560342,2.862,14,13,0.9967297315597534,0.9629629629629628
110,22.260668562961396,4.541,7,7,0.9947283267974854,0.8571428571428571
111,18.927205752388005,3.861,3,3,0.4930447041988373,1.0
112,14.67704066890694,2.994,3,3,0.9737114906311036,1.0
113,19.40761656920594,3.959,8,8,0.9425780773162842,1.0
114,1.730355512384653,0.479,1,2,0.10787488520145416,0.0
115,1.325762991743565,0.367,1,6,0.4592720270156861,0.0
116,1.4341359883438558,0.397,1,10,0.30894213914871216,0.0
117,1.416073822243808,0.392,1,7,0.3947177827358246,0.0
118,1.5316716852841186,0.424,1,12,0.6399492025375366,0.0
119,1.4995730667450748,0.428,1,2,0.4543693661689758,0.0
120,4.341053807703616,1.239,1,1,0.05397405475378037,0.0
121,1.2613231402528668,0.36,1,7,0.3846980929374695,0.0
122,1.2017606586298148,0.343,1,6,0.36920130252838135,0.0
123,1.6222017053807707,0.463,1,3,0.3816456198692322,0.0
124,1.9900876212878569,0.568,1,9,0.4577797949314117,0.0
125,6.312557182923029,1.822,1,3,0.1835734844207764,0.0
126,3.142420068557183,0.907,1,3,0.4754641652107239,0.0
127,2.643513244001247,0.763,1,10,0.3549819588661194,0.0
128,3.7314072919912737,1.077,1,11,0.2992863357067108,0.0
129,3.1112383920224365,0.898,1,3,0.17458347976207733,0.0
130,3.2948638205048306,0.951,1,14,0.7095438241958618,0.0
132,15.835771276595748,2.125,12,9,0.2853675186634064,0.3809523809523809
133,9.695218085106383,1.301,12,11,0.9431388974189758,0.9565217391304348
134,11.319781914893618,1.519,17,16,0.8244100213050842,0.9696969696969696
135,4.8553230755347,1.335,6,6,0.9999282360076904,1.0
136,9.096002256114069,2.501,7,7,0.97446471452713,1.0
137,6.841095659236531,1.881,5,8,0.8209881782531738,0.7692307692307693
138,4.207946665463406,1.157,5,9,0.33970561623573303,0.5714285714285714
139,15.300632343651296,4.207,11,11,0.994121551513672,1.0
140,3.69,0.998,1,9,0.3644693791866303,0.0
141,3.321,0.663,1,1,0.3631163537502289,0.0
142,26.871713905437947,2.447,5,5,0.9990045428276062,1.0
143,13.045671161146748,2.302,4,4,0.8878172039985657,0.0
144,18.384082209713316,3.244,5,5,0.9996825456619264,1.0
145,19.8801974080377,3.508,5,5,0.9989241957664491,1.0
146,11.101854823929834,1.959,11,12,0.9470698833465576,0.9565217391304348
147,10.115778897761487,1.785,5,5,0.9878751635551452,1.0
148,14.054415499410915,2.48,8,8,0.9922983646392822,1.0
149,3.112,0.811,1,1,0.2206878364086151,0.0
150,3.552,0.775,1,1,0.11764808744192125,0.0
151,1.6526643543223054,0.359,1,1,0.2307073473930359,0.0
152,1.5191622198505867,0.33,1,3,0.4737446010112762,0.0
153,1.7999770544290286,0.391,1,3,0.4481567144393921,0.0
154,2.26032924226254,0.491,1,12,0.4279215335845947,0.0
155,1.394867129135539,0.303,1,3,0.4332844913005829,0.0
